,Country,Month,Heat Wave
295,FR,Jul-13,0
296,FR,Aug-13,0
297,FR,Sep-13,0
298,FR,Oct-13,0
299,FR,Nov-13,0
300,FR,Dec-13,0
517,FR,Jan-14,0
518,FR,Feb-14,0
519,FR,Mar-14,0
520,FR,Apr-14,0
521,FR,May-14,0
522,FR,Jun-14,0
523,FR,Jul-14,0
524,FR,Aug-14,0
525,FR,Sep-14,0
526,FR,Oct-14,0
527,FR,Nov-14,0
528,FR,Dec-14,0
745,FR,Jan-15,0
746,FR,Feb-15,0
747,FR,Mar-15,0
748,FR,Apr-15,0
749,FR,May-15,0
750,FR,Jun-15,0
751,FR,Jul-15,0
752,FR,Aug-15,0
753,FR,Sep-15,0
754,FR,Oct-15,0
755,FR,Nov-15,0
756,FR,Dec-15,0
973,FR,Jan-16,0
974,FR,Feb-16,0
975,FR,Mar-16,0
976,FR,Apr-16,0
977,FR,May-16,0
978,FR,Jun-16,0
979,FR,Jul-16,0
980,FR,Aug-16,0
981,FR,Sep-16,0
982,FR,Oct-16,0
983,FR,Nov-16,0
984,FR,Dec-16,0
1201,FR,Jan-17,0
1202,FR,Feb-17,0
1203,FR,Mar-17,0
1204,FR,Apr-17,0
1205,FR,May-17,0
1206,FR,Jun-17,0
1207,FR,Jul-17,0
1208,FR,Aug-17,0
1209,FR,Sep-17,0
1210,FR,Oct-17,0
1211,FR,Nov-17,0
1212,FR,Dec-17,0
1429,FR,Jan-18,0
1430,FR,Feb-18,0
1431,FR,Mar-18,0
1432,FR,Apr-18,0
1433,FR,May-18,0
1434,FR,Jun-18,0
1435,FR,Jul-18,0
1436,FR,Aug-18,0
1437,FR,Sep-18,0
1438,FR,Oct-18,0
1439,FR,Nov-18,0
1440,FR,Dec-18,0
1657,FR,Jan-19,0
1658,FR,Feb-19,0
1659,FR,Mar-19,0
1660,FR,Apr-19,0
1661,FR,May-19,0
1662,FR,Jun-19,0
1663,FR,Jul-19,0
1664,FR,Aug-19,0
1665,FR,Sep-19,0
1666,FR,Oct-19,0
1667,FR,Nov-19,0
1668,FR,Dec-19,0
1885,FR,Jan-20,0
1886,FR,Feb-20,0
1887,FR,Mar-20,0
1888,FR,Apr-20,0
1889,FR,May-20,0
1890,FR,Jun-20,0
1891,FR,Jul-20,0
1892,FR,Aug-20,0
1893,FR,Sep-20,0
1894,FR,Oct-20,0
1895,FR,Nov-20,0
1896,FR,Dec-20,0
2113,FR,Jan-21,0
2114,FR,Feb-21,0
2115,FR,Mar-21,0
2116,FR,Apr-21,0
2117,FR,May-21,0
2118,FR,Jun-21,0
2119,FR,Jul-21,0
2120,FR,Aug-21,0
2121,FR,Sep-21,0
2122,FR,Oct-21,0
2123,FR,Nov-21,0
2124,FR,Dec-21,0
2341,FR,Jan-22,0
2342,FR,Feb-22,0
2343,FR,Mar-22,0
2344,FR,Apr-22,0
2345,FR,May-22,0
2346,FR,Jun-22,0
2347,FR,Jul-22,0
2348,FR,Aug-22,0
2349,FR,Sep-22,0
2350,FR,Oct-22,0
2351,FR,Nov-22,0
2352,FR,Dec-22,0
2569,FR,Jan-23,0
2570,FR,Feb-23,0
2571,FR,Mar-23,0
2572,FR,Apr-23,0
2573,FR,May-23,0
2574,FR,Jun-23,0
2575,FR,Jul-23,0
2576,FR,Aug-23,0
2577,FR,Sep-23,0
2578,FR,Oct-23,0
2579,FR,Nov-23,0
2580,FR,Dec-23,0
73,GB,Jan-12,0
74,GB,Feb-12,0
75,GB,Mar-12,0
76,GB,Apr-12,0
77,GB,May-12,0
78,GB,Jun-12,0
79,GB,Jul-12,0
80,GB,Aug-12,0
81,GB,Sep-12,0
82,GB,Oct-12,0
83,GB,Nov-12,0
84,GB,Dec-12,0
301,GB,Jan-13,0
302,GB,Feb-13,0
303,GB,Mar-13,0
304,GB,Apr-13,0
305,GB,May-13,0
306,GB,Jun-13,0
307,GB,Jul-13,0
308,GB,Aug-13,0
309,GB,Sep-13,0
310,GB,Oct-13,0
311,GB,Nov-13,0
312,GB,Dec-13,0
529,GB,Jan-14,0
530,GB,Feb-14,0
531,GB,Mar-14,0
532,GB,Apr-14,0
533,GB,May-14,0
534,GB,Jun-14,0
535,GB,Jul-14,0
536,GB,Aug-14,0
537,GB,Sep-14,0
538,GB,Oct-14,0
539,GB,Nov-14,0
540,GB,Dec-14,0
757,GB,Jan-15,0
758,GB,Feb-15,0
759,GB,Mar-15,0
760,GB,Apr-15,0
761,GB,May-15,0
762,GB,Jun-15,0
763,GB,Jul-15,0
764,GB,Aug-15,0
765,GB,Sep-15,0
766,GB,Oct-15,0
767,GB,Nov-15,0
768,GB,Dec-15,0
985,GB,Jan-16,0
986,GB,Feb-16,0
987,GB,Mar-16,0
988,GB,Apr-16,0
989,GB,May-16,0
990,GB,Jun-16,0
991,GB,Jul-16,0
992,GB,Aug-16,0
993,GB,Sep-16,0
994,GB,Oct-16,0
995,GB,Nov-16,0
996,GB,Dec-16,0
1213,GB,Jan-17,0
1214,GB,Feb-17,0
1215,GB,Mar-17,0
1216,GB,Apr-17,0
1217,GB,May-17,0
1218,GB,Jun-17,0
1219,GB,Jul-17,0
1220,GB,Aug-17,0
1221,GB,Sep-17,0
1222,GB,Oct-17,0
1223,GB,Nov-17,0
1224,GB,Dec-17,0
1441,GB,Jan-18,0
1442,GB,Feb-18,0
1443,GB,Mar-18,0
1444,GB,Apr-18,0
1445,GB,May-18,0
1446,GB,Jun-18,0
1447,GB,Jul-18,0
1448,GB,Aug-18,0
1449,GB,Sep-18,0
1450,GB,Oct-18,0
1451,GB,Nov-18,0
1452,GB,Dec-18,0
1669,GB,Jan-19,0
1670,GB,Feb-19,0
1671,GB,Mar-19,0
1672,GB,Apr-19,0
1673,GB,May-19,0
1674,GB,Jun-19,0
1675,GB,Jul-19,0
1676,GB,Aug-19,0
1677,GB,Sep-19,0
1678,GB,Oct-19,0
1679,GB,Nov-19,0
1680,GB,Dec-19,0
1897,GB,Jan-20,0
1898,GB,Feb-20,0
1899,GB,Mar-20,0
1900,GB,Apr-20,0
1901,GB,May-20,0
1902,GB,Jun-20,0
1903,GB,Jul-20,0
1904,GB,Aug-20,0
1905,GB,Sep-20,0
1906,GB,Oct-20,0
