Country,Month,wind
CH,Apr-15,1327
CH,May-15,1296
CH,Jun-15,864
CH,Jul-15,648
CH,Aug-15,571
CH,Sep-15,630
CH,Oct-15,961
CH,Nov-15,881
CH,Dec-15,986
CH,Jan-16,1073
CH,Feb-16,1190
CH,Mar-16,1177
CH,Apr-16,1260
CH,May-16,1365
CH,Jun-16,712
CH,Jul-16,667
CH,Aug-16,630
CH,Sep-16,568
CH,Oct-16,1037
CH,Nov-16,1085
CH,Dec-16,1018
CH,Jan-17,995
CH,Feb-17,1136
CH,Mar-17,967
CH,Apr-17,1276
CH,May-17,1188
CH,Jun-17,707
CH,Jul-17,733
CH,Aug-17,657
CH,Sep-17,588
CH,Oct-17,986
CH,Nov-17,1155
CH,Dec-17,1054
CH,Jan-18,1281
CH,Feb-18,1037
CH,Mar-18,1230
CH,Apr-18,1487
CH,May-18,1098
CH,Jun-18,759
CH,Jul-18,786
CH,Aug-18,658
CH,Sep-18,709
CH,Oct-18,793
CH,Nov-18,746
CH,Dec-18,1190
CH,Jan-19,945
CH,Feb-19,850
CH,Mar-19,1139
CH,Apr-19,1246
CH,May-19,1437
CH,Jun-19,789
CH,Jul-19,642
CH,Aug-19,717
CH,Sep-19,652
CH,Oct-19,857
CH,Nov-19,1148
CH,Dec-19,904
CH,Jan-20,684
CH,Feb-20,878
CH,Mar-20,1186
CH,Apr-20,1169
CH,May-20,1081
CH,Jun-20,859
CH,Jul-20,607
CH,Aug-20,598
CH,Sep-20,530
CH,Oct-20,1080
CH,Nov-20,1027
CH,Dec-20,1152
CH,Jan-21,1147
CH,Feb-21,930
CH,Mar-21,1171
CH,Apr-21,1355
CH,May-21,1341
CH,Jun-21,836
CH,Jul-21,816
CH,Aug-21,564
CH,Sep-21,500
CH,Oct-21,1073
CH,Nov-21,1148
CH,Dec-21,1001
CH,Jan-22,716
CH,Feb-22,927
CH,Mar-22,1305
CH,Apr-22,1360
CH,May-22,1090
CH,Jun-22,809
CH,Jul-22,615
CH,Aug-22,657
CH,Sep-22,757
CH,Oct-22,1176
CH,Nov-22,984
CH,Dec-22,1292
CH,Jan-23,1259
CH,Feb-23,948
CH,Mar-23,1162
CH,Apr-23,1592
CH,May-23,1364
CH,Jun-23,579
CH,Jul-23,836
CH,Aug-23,564
CH,Sep-23,477
CH,Oct-23,721
CH,Nov-23,1131
CH,Dec-23,1167
FR,Jan-12,1655
FR,Feb-12,1264
FR,Mar-12,893
FR,Apr-12,2090
FR,May-12,1116
FR,Jun-12,1181
FR,Jul-12,1080
FR,Aug-12,860
FR,Sep-12,984
FR,Oct-12,1290
FR,Nov-12,1187
FR,Dec-12,2113
FR,Jan-13,1357
FR,Feb-13,1599
FR,Mar-13,1421
FR,Apr-13,1434
FR,May-13,1257
FR,Jun-13,1184
FR,Jul-13,766
FR,Aug-13,619
FR,Sep-13,903
FR,Oct-13,1295
FR,Nov-13,1902
FR,Dec-13,1500
FR,Jan-14,1824
FR,Feb-14,2176
FR,Mar-14,1135
FR,Apr-14,984
FR,May-14,1490
FR,Jun-14,845
FR,Jul-14,935
FR,Aug-14,801
FR,Sep-14,495
FR,Oct-14,905
FR,Nov-14,1091
FR,Dec-14,1648
FR,Jan-15,1739
FR,Feb-15,1643
FR,Mar-15,1683
FR,Apr-15,1101
FR,May-15,1298
FR,Jun-15,860
FR,Jul-15,1021
FR,Aug-15,758
FR,Sep-15,1183
FR,Oct-15,853
FR,Nov-15,1606
FR,Dec-15,1203
FR,Jan-16,1800
FR,Feb-16,2123
FR,Mar-16,1807
FR,Apr-16,1248
FR,May-16,1197
FR,Jun-16,821
FR,Jul-16,727
FR,Aug-16,713
FR,Sep-16,596
FR,Oct-16,716
FR,Nov-16,1440
FR,Dec-16,604
FR,Jan-17,1276
FR,Feb-17,1546
FR,Mar-17,1547
FR,Apr-17,959
FR,May-17,825
FR,Jun-17,872
FR,Jul-17,1112
FR,Aug-17,675
FR,Sep-17,999
FR,Oct-17,1003
FR,Nov-17,1290
FR,Dec-17,1861
FR,Jan-18,2232
FR,Feb-18,1569
FR,Mar-18,1887
FR,Apr-18,1089
FR,May-18,696
FR,Jun-18,726
FR,Jul-18,462
FR,Aug-18,603
FR,Sep-18,667
FR,Oct-18,1188
FR,Nov-18,1129
FR,Dec-18,1549
FR,Jan-19,1485
FR,Feb-19,987
FR,Mar-19,2161
FR,Apr-19,1094
FR,May-19,1305
FR,Jun-19,776
FR,Jul-19,787
FR,Aug-19,669
FR,Sep-19,1306
FR,Oct-19,1470
FR,Nov-19,1570
FR,Dec-19,2123
FR,Jan-20,1664
FR,Feb-20,2558
FR,Mar-20,2021
FR,Apr-20,869
FR,May-20,1177
FR,Jun-20,1027
FR,Jul-20,952
FR,Aug-20,948
FR,Sep-20,898
FR,Oct-20,1931
FR,Nov-20,1037
FR,Dec-20,1819
FR,Jan-21,1563
FR,Feb-21,1419
FR,Mar-21,1525
FR,Apr-21,1341
FR,May-21,1702
FR,Jun-21,532
FR,Jul-21,904
FR,Aug-21,879
FR,Sep-21,540
FR,Oct-21,1284
FR,Nov-21,1148
FR,Dec-21,1628
FR,Jan-22,1201
FR,Feb-22,1848
FR,Mar-22,1310
FR,Apr-22,1472
FR,May-22,684
FR,Jun-22,784
FR,Jul-22,731
FR,Aug-22,755
FR,Sep-22,941
FR,Oct-22,934
FR,Nov-22,1567
FR,Dec-22,1394
FR,Jan-23,2129
FR,Feb-23,1044
FR,Mar-23,2109
FR,Apr-23,1460
FR,May-23,1324
FR,Jun-23,670
FR,Jul-23,1243
FR,Aug-23,1094
FR,Sep-23,642
FR,Oct-23,1370
FR,Nov-23,2115
FR,Dec-23,2060
GM,Jan-12,1142
GM,Feb-12,648
GM,Mar-12,500
GM,Apr-12,429
GM,May-12,326
GM,Jun-12,389
GM,Jul-12,473
GM,Aug-12,221
GM,Sep-12,291
GM,Oct-12,366
GM,Nov-12,418
GM,Dec-12,714
GM,Jan-13,664
GM,Feb-13,486
GM,Mar-13,616
GM,Apr-13,509
GM,May-13,320
GM,Jun-13,386
GM,Jul-13,173
GM,Aug-13,172
GM,Sep-13,375
GM,Oct-13,505
GM,Nov-13,468
GM,Dec-13,691
GM,Jan-14,630
GM,Feb-14,625
GM,Mar-14,449
GM,Apr-14,371
GM,May-14,461
GM,Jun-14,212
GM,Jul-14,193
GM,Aug-14,335
GM,Sep-14,178
GM,Oct-14,301
GM,Nov-14,321
GM,Dec-14,902
GM,Jan-15,916
GM,Feb-15,446
GM,Mar-15,692
GM,Apr-15,439
GM,May-15,439
GM,Jun-15,290
GM,Jul-15,524
GM,Aug-15,198
GM,Sep-15,354
GM,Oct-15,131
GM,Nov-15,906
GM,Dec-15,765
GM,Jan-16,709
GM,Feb-16,866
GM,Mar-16,492
GM,Apr-16,469
GM,May-16,434
GM,Jun-16,156
GM,Jul-16,251
GM,Aug-16,211
GM,Sep-16,177
GM,Oct-16,261
GM,Nov-16,386
GM,Dec-16,450
GM,Jan-17,489
GM,Feb-17,692
GM,Mar-17,649
GM,Apr-17,522
GM,May-17,258
GM,Jun-17,482
GM,Jul-17,290
GM,Aug-17,214
GM,Sep-17,386
GM,Oct-17,707
GM,Nov-17,571
GM,Dec-17,878
GM,Jan-18,946
GM,Feb-18,453
GM,Mar-18,604
GM,Apr-18,444
GM,May-18,269
GM,Jun-18,225
GM,Jul-18,143
GM,Aug-18,213
GM,Sep-18,292
GM,Oct-18,431
GM,Nov-18,309
GM,Dec-18,729
GM,Jan-19,828
GM,Feb-19,464
GM,Mar-19,1073
GM,Apr-19,331
GM,May-19,339
GM,Jun-19,198
GM,Jul-19,244
GM,Aug-19,163
GM,Sep-19,343
GM,Oct-19,402
GM,Nov-19,305
GM,Dec-19,614
GM,Jan-20,670
GM,Feb-20,1262
GM,Mar-20,738
GM,Apr-20,351
GM,May-20,301
GM,Jun-20,237
GM,Jul-20,276
GM,Aug-20,178
GM,Sep-20,143
GM,Oct-20,517
GM,Nov-20,353
GM,Dec-20,325
GM,Jan-21,524
GM,Feb-21,324
GM,Mar-21,535
GM,Apr-21,410
GM,May-21,555
GM,Jun-21,92
GM,Jul-21,178
GM,Aug-21,253
GM,Sep-21,134
GM,Oct-21,381
GM,Nov-21,295
GM,Dec-21,426
GM,Jan-22,783
GM,Feb-22,1139
GM,Mar-22,234
GM,Apr-22,553
GM,May-22,276
GM,Jun-22,92
GM,Jul-22,211
GM,Aug-22,52
GM,Sep-22,280
GM,Oct-22,224
GM,Nov-22,353
GM,Dec-22,430
GM,Jan-23,879
GM,Feb-23,596
GM,Mar-23,769
GM,Apr-23,454
GM,May-23,244
GM,Jun-23,144
GM,Jul-23,386
GM,Aug-23,304
GM,Sep-23,151
GM,Oct-23,479
GM,Nov-23,813
GM,Dec-23,925
ID,Jan-12,130
ID,Feb-12,43
ID,Mar-12,123
ID,Apr-12,16
ID,May-12,120
ID,Jun-12,145
ID,Jul-12,198
ID,Aug-12,188
ID,Sep-12,71
ID,Oct-12,53
ID,Nov-12,11
ID,Dec-12,22
ID,Jan-13,181
ID,Feb-13,88
ID,Mar-13,70
ID,Apr-13,20
ID,May-13,23
ID,Jun-13,79
ID,Jul-13,160
ID,Aug-13,140
ID,Sep-13,126
ID,Oct-13,60
ID,Nov-13,12
ID,Dec-13,75
ID,Jan-14,277
ID,Feb-14,117
ID,Mar-14,52
ID,Apr-14,25
ID,May-14,24
ID,Jun-14,135
ID,Jul-14,149
ID,Aug-14,236
ID,Sep-14,71
ID,Oct-14,70
ID,Nov-14,22
ID,Dec-14,53
ID,Jan-15,165
ID,Feb-15,119
ID,Mar-15,82
ID,Apr-15,32
ID,May-15,39
ID,Jun-15,110
ID,Jul-15,196
ID,Aug-15,166
ID,Sep-15,138
ID,Oct-15,116
ID,Nov-15,10
ID,Dec-15,75
ID,Jan-16,62
ID,Feb-16,80
ID,Mar-16,41
ID,Apr-16,19
ID,May-16,25
ID,Jun-16,58
ID,Jul-16,107
ID,Aug-16,106
ID,Sep-16,43
ID,Oct-16,42
ID,Nov-16,12
ID,Dec-16,107
ID,Jan-17,98
ID,Feb-17,152
ID,Mar-17,33
ID,Apr-17,31
ID,May-17,79
ID,Jun-17,131
ID,Jul-17,130
ID,Aug-17,157
ID,Sep-17,88
ID,Oct-17,33
ID,Nov-17,24
ID,Dec-17,71
ID,Jan-18,162
ID,Feb-18,117
ID,Mar-18,75
ID,Apr-18,31
ID,May-18,76
ID,Jun-18,97
ID,Jul-18,144
ID,Aug-18,140
ID,Sep-18,55
ID,Oct-18,44
ID,Nov-18,20
ID,Dec-18,76
ID,Jan-19,123
ID,Feb-19,47
ID,Mar-19,43
ID,Apr-19,41
ID,May-19,80
ID,Jun-19,131
ID,Jul-19,111
ID,Aug-19,186
ID,Sep-19,95
ID,Oct-19,39
ID,Nov-19,23
ID,Dec-19,29
ID,Jan-20,78
ID,Feb-20,63
ID,Mar-20,19
ID,Apr-20,19
ID,May-20,85
ID,Jun-20,122
ID,Jul-20,154
ID,Aug-20,121
ID,Sep-20,85
ID,Oct-20,76
ID,Nov-20,19
ID,Dec-20,79
ID,Jan-21,86
ID,Feb-21,124
ID,Mar-21,27
ID,Apr-21,40
ID,May-21,70
ID,Jun-21,64
ID,Jul-21,91
ID,Aug-21,147
ID,Sep-21,123
ID,Oct-21,27
ID,Nov-21,18
ID,Dec-21,78
ID,Jan-22,75
ID,Feb-22,45
ID,Mar-22,28
ID,Apr-22,3
ID,May-22,25
ID,Jun-22,58
ID,Jul-22,124
ID,Aug-22,126
ID,Sep-22,42
ID,Oct-22,19
ID,Nov-22,17
ID,Dec-22,90
ID,Jan-23,130
ID,Feb-23,138
ID,Mar-23,60
ID,Apr-23,36
ID,May-23,122
ID,Jun-23,49
ID,Jul-23,182
ID,Aug-23,202
ID,Sep-23,155
ID,Oct-23,51
ID,Nov-23,23
ID,Dec-23,19
IN,Jan-12,8
IN,Feb-12,12
IN,Mar-12,17
IN,Apr-12,39
IN,May-12,153
IN,Jun-12,363
IN,Jul-12,309
IN,Aug-12,206
IN,Sep-12,88
IN,Oct-12,28
IN,Nov-12,17
IN,Dec-12,27
IN,Jan-13,11
IN,Feb-13,12
IN,Mar-13,9
IN,Apr-13,38
IN,May-13,172
IN,Jun-13,279
IN,Jul-13,304
IN,Aug-13,162
IN,Sep-13,60
IN,Oct-13,40
IN,Nov-13,16
IN,Dec-13,26
IN,Jan-14,29
IN,Feb-14,7
IN,Mar-14,16
IN,Apr-14,12
IN,May-14,90
IN,Jun-14,327
IN,Jul-14,348
IN,Aug-14,183
IN,Sep-14,98
IN,Oct-14,17
IN,Nov-14,19
IN,Dec-14,29
IN,Jan-15,9
IN,Feb-15,14
IN,Mar-15,9
IN,Apr-15,53
IN,May-15,101
IN,Jun-15,213
IN,Jul-15,308
IN,Aug-15,112
IN,Sep-15,60
IN,Oct-15,7
IN,Nov-15,20
IN,Dec-15,34
IN,Jan-16,23
IN,Feb-16,24
IN,Mar-16,61
IN,Apr-16,178
IN,May-16,287
IN,Jun-16,332
IN,Jul-16,343
IN,Aug-16,342
IN,Sep-16,103
IN,Oct-16,25
IN,Nov-16,13
IN,Dec-16,46
IN,Jan-17,17
IN,Feb-17,48
IN,Mar-17,72
IN,Apr-17,192
IN,May-17,206
IN,Jun-17,362
IN,Jul-17,470
IN,Aug-17,204
IN,Sep-17,62
IN,Oct-17,28
IN,Nov-17,25
IN,Dec-17,56
IN,Jan-18,13
IN,Feb-18,14
IN,Mar-18,34
IN,Apr-18,69
IN,May-18,173
IN,Jun-18,445
IN,Jul-18,581
IN,Aug-18,461
IN,Sep-18,94
IN,Oct-18,27
IN,Nov-18,18
IN,Dec-18,38
IN,Jan-19,31
IN,Feb-19,30
IN,Mar-19,40
IN,Apr-19,75
IN,May-19,244
IN,Jun-19,419
IN,Jul-19,535
IN,Aug-19,402
IN,Sep-19,153
IN,Oct-19,28
IN,Nov-19,17
IN,Dec-19,41
IN,Jan-20,25
IN,Feb-20,19
IN,Mar-20,30
IN,Apr-20,41
IN,May-20,194
IN,Jun-20,192
IN,Jul-20,152
IN,Aug-20,321
IN,Sep-20,76
IN,Oct-20,34
IN,Nov-20,33
